row_id,document,token,label
0,7,0,O
1,7,1,O
2,7,2,O
3,7,3,O
4,7,4,O
5,7,5,O
6,7,6,O
7,7,7,O
8,7,8,O
9,7,9,B-NAME_STUDENT
10,7,10,I-NAME_STUDENT
11,7,11,O
12,7,12,O
13,7,13,O
14,7,14,O
15,7,15,O
16,7,16,O
17,7,17,O
18,7,18,O
19,7,19,O
20,7,20,O
21,7,21,O
22,7,22,O
23,7,23,O
24,7,24,O
25,7,25,O
26,7,26,O
27,7,27,O
28,7,28,O
29,7,29,O
30,7,30,O
31,7,31,O
32,7,32,O
33,7,33,O
34,7,34,O
35,7,35,O
36,7,36,O
37,7,37,O
38,7,38,O
39,7,39,O
40,7,40,O
41,7,41,O
42,7,42,O
43,7,43,O
44,7,44,O
45,7,45,O
46,7,46,O
47,7,47,O
48,7,48,O
49,7,49,O
50,7,50,O
51,7,51,O
52,7,52,O
53,7,53,O
54,7,54,O
55,7,55,O
56,7,56,O
57,7,57,O
58,7,58,O
59,7,59,O
60,7,60,O
61,7,61,O
62,7,62,O
63,7,63,O
64,7,64,O
65,7,65,O
66,7,66,O
67,7,67,O
68,7,68,O
69,7,69,O
70,7,70,O
71,7,71,O
72,7,72,O
73,7,73,O
74,7,74,O
75,7,75,O
76,7,76,O
77,7,77,O
78,7,78,O
79,7,79,O
80,7,80,O
81,7,81,O
82,7,82,O
83,7,83,O
84,7,84,O
85,7,85,O
86,7,86,O
87,7,87,O
88,7,88,O
89,7,89,O
90,7,90,O
91,7,91,O
92,7,92,O
93,7,93,O
94,7,94,O
95,7,95,O
96,7,96,O
97,7,97,O
98,7,98,O
99,7,99,O
100,7,100,O
101,7,101,O
102,7,102,O
103,7,103,O
104,7,104,O
105,7,105,O
106,7,106,O
107,7,107,O
108,7,108,O
109,7,109,O
110,7,110,O
111,7,111,O
112,7,112,O
113,7,113,O
114,7,114,O
115,7,115,O
116,7,116,O
117,7,117,O
118,7,118,O
119,7,119,O
120,7,120,O
121,7,121,O
122,7,122,O
123,7,123,O
124,7,124,O
125,7,125,O
126,7,126,O
127,7,127,O
128,7,128,O
129,7,129,O
130,7,130,O
131,7,131,O
132,7,132,O
133,7,133,O
134,7,134,O
135,7,135,O
136,7,136,O
137,7,137,O
138,7,138,O
139,7,139,O
140,7,140,O
141,7,141,O
142,7,142,O
143,7,143,O
144,7,144,O
145,7,145,O
146,7,146,O
147,7,147,O
148,7,148,O
149,7,149,O
150,7,150,O
151,7,151,O
152,7,152,O
153,7,153,O
154,7,154,O
155,7,155,O
156,7,156,O
157,7,157,O
158,7,158,O
159,7,159,O
160,7,160,O
161,7,161,O
162,7,162,O
163,7,163,O
164,7,164,O
165,7,165,O
166,7,166,O
167,7,167,O
168,7,168,O
169,7,169,O
170,7,170,O
171,7,171,O
172,7,172,O
173,7,173,O
174,7,174,O
175,7,175,O
176,7,176,O
177,7,177,O
178,7,178,O
179,7,179,O
180,7,180,O
181,7,181,O
182,7,182,O
183,7,183,O
184,7,184,O
185,7,185,O
186,7,186,O
187,7,187,O
188,7,188,O
189,7,189,O
190,7,190,O
191,7,191,O
192,7,192,O
193,7,193,O
194,7,194,O
195,7,195,O
196,7,196,O
197,7,197,O
198,7,198,O
199,7,199,O
200,7,200,O
201,7,201,O
202,7,202,O
203,7,203,O
204,7,204,O
205,7,205,O
206,7,206,O
207,7,207,O
208,7,208,O
209,7,209,O
210,7,210,O
211,7,211,O
212,7,212,O
213,7,213,O
214,7,214,O
215,7,215,O
216,7,216,O
217,7,217,O
218,7,218,O
219,7,219,O
220,7,220,O
221,7,221,O
222,7,222,O
223,7,223,O
224,7,224,O
225,7,225,O
226,7,226,O
227,7,227,O
228,7,228,O
229,7,229,O
230,7,230,O
231,7,231,O
232,7,232,O
233,7,233,O
234,7,234,O
235,7,235,O
236,7,236,O
237,7,237,O
238,7,238,O
239,7,239,O
240,7,240,O
241,7,241,O
242,7,242,O
243,7,243,O
244,7,244,O
245,7,245,O
246,7,246,O
247,7,247,O
248,7,248,O
249,7,249,O
250,7,250,O
251,7,251,O
252,7,252,O
253,7,253,O
254,7,254,O
255,7,255,O
256,7,256,O
257,7,257,O
258,7,258,O
259,7,259,O
260,7,260,O
261,7,261,O
262,7,262,O
263,7,263,O
264,7,264,O
265,7,265,O
266,7,266,O
267,7,267,O
268,7,268,O
269,7,269,O
270,7,270,O
271,7,271,O
272,7,272,O
273,7,273,O
274,7,274,O
275,7,275,O
276,7,276,O
277,7,277,O
278,7,278,O
279,7,279,O
280,7,280,O
281,7,281,O
282,7,282,O
283,7,283,O
284,7,284,O
285,7,285,O
286,7,286,O
287,7,287,O
288,7,288,O
289,7,289,O
290,7,290,O
291,7,291,O
292,7,292,O
293,7,293,O
294,7,294,O
295,7,295,O
296,7,296,O
297,7,297,O
298,7,298,O
299,7,299,O
300,7,300,O
301,7,301,O
302,7,302,O
303,7,303,O
304,7,304,O
305,7,305,O
306,7,306,O
307,7,307,O
308,7,308,O
309,7,309,O
310,7,310,O
311,7,311,O
312,7,312,O
313,7,313,O
314,7,314,O
315,7,315,O
316,7,316,O
317,7,317,O
318,7,318,O
319,7,319,O
320,7,320,O
321,7,321,O
322,7,322,O
323,7,323,O
324,7,324,O
325,7,325,O
326,7,326,O
327,7,327,O
328,7,328,O
329,7,329,O
330,7,330,O
331,7,331,O
332,7,332,O
333,7,333,O
334,7,334,O
335,7,335,O
336,7,336,O
337,7,337,O
338,7,338,O
339,7,339,O
340,7,340,O
341,7,341,O
342,7,342,O
